density_sq_km,land_sq_km,water_sq_km,childcnt,conservative,liberal,ownrent,income,dem_performance_pct,persuasion_pct,turnout_pct,age,earliest_reg_date,sex,vote_g2008,vote_g2010,vote_g2012,vote_p2004party_d,vote_p2004party_r,vote_p2006party_d,vote_p2006party_r,vote_p2008party_d,vote_p2008party_r,vote_p2009party_d,vote_p2009party_r,vote_p2010party_d,vote_p2010party_r,vote_p2011party_d,vote_p2011party_r,vote_p2012party_d,vote_p2012party_r,vote_pp2004party_d,vote_pp2004party_r,vote_pp2008party_d,vote_pp2008party_r,vote_pp2012party_d,vote_pp2012party_r,hh_vote_p2004party_d_num,hh_vote_p2004party_r_num,hh_vote_p2006party_d_num,hh_vote_p2006party_r_num,hh_vote_p2008party_d_num,hh_vote_p2008party_r_num,hh_vote_p2009party_d_num,hh_vote_p2009party_r_num,hh_vote_p2010party_d_num,hh_vote_p2010party_r_num,hh_vote_p2011party_d_num,hh_vote_p2011party_r_num,hh_vote_p2012party_d_num,hh_vote_p2012party_r_num,hh_vote_pp2004party_d_num,hh_vote_pp2004party_r_num,hh_vote_pp2008party_d_num,hh_vote_pp2008party_r_num,obama08_minus_kerry,random_var,support,obama08_pct_mean,catowner_1,lib_donor,id,boatownr_1,apparel_1,bankcard_1,bookmusc_1,environm_1,contbrel_1,outdgrdn_1,electrnc_1,donrever_1,golf_1,outdoor_1,stockbnd_1,smarstat_s,smarstat_m,veteran_1,cen_advcnddegreepcnt,cen_armedforcespct,cen_avgtrvltime,cen_blackpcnt,cen_childrenpcnt,cen_collegepcnt,cen_hisppcnt,cen_i_art_ent_rec_srvspr,cen_i_farmingprct,cen_i_miningprct,cen_i_utilitiesprct,cen_i_wholesaletrprct,cen_medianincome,cen_ruralpcnt,cen_singlemomspcnt,cen_unemprate,cen_urbanpcnt,state_region,ethnicity
67.58385,43.131606,0,"0","108","061","9",5000,37,,39.3,50,"1996-09-24","F",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,-5.6,31.4,1,.4403185,0,0,110057,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,.0142288,.1024801,26.17317,.0552316,.3271548,.0421172,.0092624,0,.0048309,.0905797,.0157005,.031401,22114,.5238422,.0787766,.1375,0,"Region 6","B"
637.99169,1.539205,0,"0","078","077","1",5000,46.4,,46.9,66,"2006-05-15","F",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,5.9,55.7,1,.1022342,0,0,111427,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.002845,.0616622,27.86713,.7645875,.3247588,.0369844,0,0,.034965,0,0,.0314685,21442,0,.1028939,.1333333,0,"Region 3","W"
3626.0049,.203254,0,"0","102","104","9",,90.2,,21.8,25,"2008-09-16","F",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,97,1,.7170371,0,0,110110,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,.0147992,.1254613,33.35922,.9703808,.2666667,.012685,.0296192,0,0,0,.0324074,0,16304,0,.2259259,.2244898,1,"Region 5","B"
7999.052,.101262,0,"0","078","077","1",5000,64.5,,34.1,24,"2008-08-22","M",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,71.7,1,.3974684,0,0,113020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.1189427,30.99275,1,.3136095,.0155844,0,0,0,0,0,.0506329,9722,0,.2810651,.2850679,1,"Region 5","B"
44.221757,13.926342,.320039,"0","108","061","7",5000,32.5,,47.3,32,"2000-03-01","F",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2,26,1,.6542035,0,0,110533,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,.1108911,34.87632,0,.310757,0,0,.0206186,.0274914,.0274914,.024055,.0206186,24688,1,0,.090625,0,"Region 6","W"
38.792186,36.244413,0,"0","128","062","8",5000,26.7,,42.4,73,"1998-05-23","F",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,26.4,1,.864231,0,0,111568,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,.0165794,.1152328,25.45852,0,.2135036,.0575916,.0260274,0,0,0,0,0,40735,1,.0565693,.1766029,0,"Region 6","W"
3112.4964,.463615,0,"0","102","104","9",,84.7,,28.4,77,"1964-09-23","F",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,2.7,86.7,1,.6585723,0,0,113803,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,.0338219,.0907473,20.98309,.7087046,.3402597,.0496054,.0150788,0,0,0,0,.02657,20160,0,.2467532,.077951,1,"Region 6","B"
7999.052,.101262,0,"0","078","077","1",5000,64.5,,34.1,76,"1994-10-07","F",1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,9.4,71.7,0,.6187893,0,0,110828,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.1189427,30.99275,1,.3136095,.0155844,0,0,0,0,0,.0506329,9722,0,.2810651,.2850679,1,"Region 5","B"
2019.5176,.451593,0,"0","102","104","7",5000,94.8,,29.3,103,"1963-12-11","F",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,6.3,99.8,1,.545487,0,0,113515,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,.0115132,.1246291,22.81588,.9808307,.1364985,.0197368,0,0,0,0,0,.0252708,27656,0,.0652819,.2348066,1,"Region 5","B"
212.50199,3.764792,.48458,"0","102","104","9",5000,93.3,,29.5,79,"2008-10-01","F",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,4.8,99,1,.0295614,0,0,111807,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,.0164609,.1031895,34.18699,.9430233,.448505,0,0,0,0,0,.0162602,0,20986,0,.3322259,.1428571,1,"Region 1","B"
13.840999,63.370726,1.581231,"0","128","062","7",5000,56,,41.7,81,"2000-10-10","F",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,62.9,1,.1176278,0,0,113083,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.1074627,.1495063,22.92143,.4779661,.2125341,.0701493,.0067797,0,.0598592,0,.0457746,.0387324,22440,1,.0326975,.1180124,0,"Region 3","W"
1714.1319,1.181356,0,"0","102","104","9",,84.7,,28.4,22,"2008-10-06","M",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,86.7,1,.5434613,0,0,110880,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,.0228277,.1385023,19.08541,.4135228,.2801876,.0611193,.0132288,.0196078,0,0,.0046136,.0299885,22962,0,.0996483,.0747065,1,"Region 6","B"
8706.9395,.369016,0,"0","051","117","1",5000,72.9,,44.6,75,"2000-08-08","F",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,79.3,1,.8101307,0,0,114653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.2061337,.0824132,39.37652,.3401612,.1820513,.3086978,.1457354,.0188872,0,0,0,.0081674,39340,0,.0602564,.0463007,1,"Region 4","B"
1943.1346,1.866057,0,"0","082","105","2",,67.7,,38.6,19,"2011-04-15","F",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,69.3,1,.8337412,0,0,110931,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.0613254,.0863047,26.37574,.1919192,.4393657,.1656775,.2842312,.005322,0,0,0,.0133049,45094,0,.056903,.0513972,1,"Region 4","B"
4333.342,.230538,0,"0","064","125","1",5000,59.6,,26.9,42,"2001-03-07","F",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,11.3,68.1,1,.4179963,0,0,111931,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.0124113,.1303116,23.11521,.7227723,.3771186,.0230496,.0663366,.0166271,.0380048,0,0,.0213777,19663,0,.2266949,.1014493,1,"Region 5","B"
2034.8606,.843301,0,"0","064","125","4",5000,94.5,,20.4,20,"2011-05-10","M",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,99.4,1,.9920442,0,0,111060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0094723,.0590674,26.1883,.9597561,.4292929,0,.0060976,.0167866,0,0,0,.0191847,11484,0,.3434343,.2459313,1,"Region 1","B"
